string                                                                                                                                                                                  count
PEPTIDIC                                                                                                                                                                                11   
ACETOHYDROXAMIC ACID                                                                                                                                                                    11   
SODIUM CACODYLATE:HCL                                                                                                                                                                   11   
DMSO 5                                                                                                                                                                                  11   
CARBOXYLIC ACID                                                                                                                                                                         11   
3 UL                                                                                                                                                                                    11   
IMIDAZOLE:HCL                                                                                                                                                                           10   
PKI PEPTIDE                                                                                                                                                                             10   
PENTAETHYLENEGLYCOL                                                                                                                                                                     10   
PLURONIC-F-68                                                                                                                                                                           10   
TRIS BIS TRIS                                                                                                                                                                           10   
MAGNESIUM CHLORIDE PROTEIN: PROTEIN                                                                                                                                                     10   
PEG MME 5000 ETHER MME                                                                                                                                                                  10   
MG                                                                                                                                                                                      10   
2,3,4,5,6-PENTAFLUOROBENZYL ALCOHOL                                                                                                                                                     10   
SODIUM HEPES/MOPS                                                                                                                                                                       10   
PEG 33500                                                                                                                                                                               10   
MOPS / SODIUM-HEPES                                                                                                                                                                     10   
N-(2-ACETAMIDO)-2-IMINODIACETIC ACID (ADA) MM                                                                                                                                           10   
3-CHLOROMERCURI-2-METHOXYPROPYLUREA                                                                                                                                                     10   
(II) WE 4 UL                                                                                                                                                                            10   
TRIS PROTEIN                                                                                                                                                                            10   
LI3-CITRATE                                                                                                                                                                             10   
MCSG1                                                                                                                                                                                   9    
CALCIUM II                                                                                                                                                                              9    
LRE                                                                                                                                                                                     9    
DECYLMALTOSIDE                                                                                                                                                                          9    
L-GLUTATHIONE                                                                                                                                                                           9    
AMMONIUM 3 PHOSPHATE                                                                                                                                                                    9    
HEPES LINBRO                                                                                                                                                                            9    
CHES-NAOH                                                                                                                                                                               9    
P400                                                                                                                                                                                    9    
MES DEOXY-BIG CHAP                                                                                                                                                                      9    
POTASSIUM PHOSPHATE-DIBASIC                                                                                                                                                             9    
D(TCGGCGCCGA)2                                                                                                                                                                          9    
CATION                                                                                                                                                                                  9    
MOPS/ HEPES-NA                                                                                                                                                                          9    
IPP                                                                                                                                                                                     9    
TMAO TMAO                                                                                                                                                                               9    
2 PEG 8000                                                                                                                                                                              9    
NAP                                                                                                                                                                                     9    
SODIUM CHLORIDE 100 MM                                                                                                                                                                  9    
AMPICILLIN                                                                                                                                                                              9    
EFE                                                                                                                                                                                     9    
PEGF-4000                                                                                                                                                                               9    
SODIUM POTASSIUM H PHOSPHATE                                                                                                                                                            9    
UDP-GAL                                                                                                                                                                                 9    
MOPS/HEPES SODIUM                                                                                                                                                                       8    
HEXYLENE GLYCOL                                                                                                                                                                         8    
AMINOACIDSMIX                                                                                                                                                                           8    
SODIUMPHOSPHATE                                                                                                                                                                         8    
MPDMPD                                                                                                                                                                                  8    
MALATE/TRIS MES                                                                                                                                                                         8    
PEG 2250                                                                                                                                                                                8    
THIAMINE DIPHOSPHATE                                                                                                                                                                    8    
SODIUM ACETATE PH                                                                                                                                                                       8    
METHOXY-PEG MME 5000                                                                                                                                                                    8    
SODIUM PHOSPHATE MONOBASIC /POTASSIUM PHOSPHATE DIBASIC                                                                                                                                 8    
ETHOXYETHANOL                                                                                                                                                                           8    
TRIS CHLORIDE PH                                                                                                                                                                        8    
ADENINE                                                                                                                                                                                 8    
FRUCTOSE 1,6-DIPHOSPHATE                                                                                                                                                                8    
MES/ IMIDAZOLE                                                                                                                                                                          8    
DEOXYCHOLATE                                                                                                                                                                            8    
HOMOPIPES                                                                                                                                                                               8    
PRFA                                                                                                                                                                                    8    
SODIUM CITRATE LINBRO                                                                                                                                                                   8    
AHA                                                                                                                                                                                     8    
ACETATE DE SODIUM                                                                                                                                                                       8    
MYT1                                                                                                                                                                                    8    
HALORHODOPSIN                                                                                                                                                                           8    
2-(N-MORPHOLINO)ETHANESULFONIC ACID                                                                                                                                                     8    
FOLINIC ACID                                                                                                                                                                            8    
AVIBACTAM                                                                                                                                                                               8    
MPD MPD                                                                                                                                                                                 8    
DM                                                                                                                                                                                      8    
UDP-GLC                                                                                                                                                                                 8    
COENZYME                                                                                                                                                                                8    
SODIUM CITRATE AGAIST ISOPROPANOL                                                                                                                                                       8    
SODIUM MALONATE DIBASIC                                                                                                                                                                 8    
LITHIUM-SULFATE                                                                                                                                                                         8    
TRIS(2-CARBOXYETHYL)-PHOSPHINE (TCEP                                                                                                                                                    7    
P-CHLOROMERCURIBENZOIC ACID                                                                                                                                                             7    
NH 4 2 SO 4                                                                                                                                                                             7    
PEG 6000 2 UL 100 U/ML PROTEIN HUMULIN R                                                                                                                                                7    
4-(2-HYDROXYETHYL)-PIPERAZINE-1-SODIUM ETHANESULFONATE (HEPES                                                                                                                           7    
PEG MME 2000 PEG MME 2000                                                                                                                                                               7    
DTAT                                                                                                                                                                                    7    
IBMX                                                                                                                                                                                    7    
18-CROWN-6                                                                                                                                                                              7    
MELTING AGAROSE                                                                                                                                                                         7    
CAPS:NAOH                                                                                                                                                                               7    
XYLOBIOSE                                                                                                                                                                               7    
SODIUM CITRATE:CITRATE                                                                                                                                                                  7    
DTDP                                                                                                                                                                                    7    
HCOONA                                                                                                                                                                                  7    
CALCIUM DIACETATE                                                                                                                                                                       7    
SALINE                                                                                                                                                                                  7    
SODIUM POTASSIUM-TARTRATE                                                                                                                                                               7    
SUCCINATE/ PHOSPHATE/ GLYCINE                                                                                                                                                           7    
1.6-DIAMINOHEXANE                                                                                                                                                                       7    
PEG 500* MME                                                                                                                                                                            7    
OLOMOUCINE                                                                                                                                                                              7    
PEG MME 350 MME                                                                                                                                                                         7    
SODIUM POTASSIUM HYDROGEN PHOSPHATE                                                                                                                                                     7    
PEG MME 550 PEG MME 550                                                                                                                                                                 7    
SODIUM PHOSPHATE MONOBASIC / POTASSIUM PHOSPHATE DIBASIC                                                                                                                                7    
TRIS (BASE)                                                                                                                                                                             7    
OBG                                                                                                                                                                                     7    
TLN                                                                                                                                                                                     7    
ACES N-[2-ACETAMIDO]-2-AMINOETHANE SULFONIC ACID                                                                                                                                        7    
1,2-ETHANEDIOL                                                                                                                                                                          7    
PENTAERYTHRITOL PROPOXYLATE 17/8 PO/OH                                                                                                                                                  7    
LAMBDA-[RU(TAP)2(DPPZ)]2                                                                                                                                                                7    
SODIUM CHLORIDE DMSO                                                                                                                                                                    7    
PEG 400 ACROS                                                                                                                                                                           7    
PEG MME 550,-VN1194 HA                                                                                                                                                                  7    
AMMONIUM DIBASIC PHOSPHATE                                                                                                                                                              7    
AMMONIUM CITRATE PEG 6000                                                                                                                                                               7    
WARDS TRIS                                                                                                                                                                              7    
RTEV 3                                                                                                                                                                                  7    
2-METHYL 2,4-PENTANEDIOL                                                                                                                                                                7    
POTTASSIUM PHOSPHATE-DIBASIC                                                                                                                                                            7    
GLYCEROL/PEG 4000                                                                                                                                                                       7    
